Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)
LMJLV39_330019800	LMJLV39_330019800.1	Leishmania major strain LV39c5	LmjLV39_33:468,819..470,684(+)	WD domain, G-beta repeat, putative	LmxM.32.1240
LMJLV39_330019900	LMJLV39_330019900.1	Leishmania major strain LV39c5	LmjLV39_33:471,678..474,278(+)	WD domain, G-beta repeat, putative	LmxM.32.1240
LMJLV39_330023400	LMJLV39_330023400.1	Leishmania major strain LV39c5	LmjLV39_33:618,019..628,350(+)	Tetratricopeptide repeats, putative	LmxM.32.1490
LMJLV39_330043400	LMJLV39_330043400.1	Leishmania major strain LV39c5	LmjLV39_33:1,384,564..1,384,884(+)	hypothetical protein	LmxM.32.3070partial
LMJLV39_330043900	LMJLV39_330043900.1	Leishmania major strain LV39c5	LmjLV39_33:1,397,766..1,399,862(+)	hypothetical protein, conserved	LmxM.32.3070partial
LMJLV39_330045300	LMJLV39_330045300.1	Leishmania major strain LV39c5	LmjLV39_33:1,441,197..1,443,851(+)	beta prime cop protein, putative	LmxM.32.3210
LMJLV39_330045500	LMJLV39_330045500.1	Leishmania major strain LV39c5	LmjLV39_33:1,447,471..1,449,075(+)	hypothetical protein, conserved	LmxM.32.3220
LMJLV39_340036000	LMJLV39_340036000.1	Leishmania major strain LV39c5	LmjLV39_34:1,215,603..1,217,513(+)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJLV39_340047200	LMJLV39_340047200.1	Leishmania major strain LV39c5	LmjLV39_34:1,575,342..1,578,062(+)	ubiquitin hydrolase, putative	LmxM.33.4060
LMJLV39_350051900	LMJLV39_350051900.1	Leishmania major strain LV39c5	LmjLV39_35:1,686,641..1,688,185(+)	hypothetical protein, conserved	LmxM.34.4380
LMJLV39_360018500	LMJLV39_360018500.1	Leishmania major strain LV39c5	LmjLV39_36:463,763..465,757(+)	tuzin-like protein	LmxM.33.1590
LMJLV39_360034300	LMJLV39_360034300.1	Leishmania major strain LV39c5	LmjLV39_36:1,045,489..1,047,651(-)	cyclin-e binding protein 1-like protein	LmxM.36.2600
LMJLV39_360062200	LMJLV39_360062200.1	Leishmania major strain LV39c5	LmjLV39_36:1,944,496..1,947,033(-)	hypothetical protein, conserved	LmxM.03.0320
LMJLV39_360079500	LMJLV39_360079500.1	Leishmania major strain LV39c5	LmjLV39_36:2,526,999..2,528,198(-)	cop9 signalosome complex subunit, putative	LmxM.36.6510
LMJSD75_020007900	LMJSD75_020007900.1	Leishmania major strain SD 75.1	JH605089:119,102..126,340(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_020008000	LMJSD75_020008000.1	Leishmania major strain SD 75.1	JH605089:126,358..127,065(-)	hypothetical protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_020008100	LMJSD75_020008100.1	Leishmania major strain SD 75.1	JH605089:130,874..132,958(-)	Soluble NSF attachment protein, SNAP, putative	LmxM.02.0310
LMJSD75_020009600	LMJSD75_020009600.1	Leishmania major strain SD 75.1	JH605089:178,397..179,368(-)	amino acid permease, putative	LmxM.30.0350
LMJSD75_020011100	LMJSD75_020011100.1	Leishmania major strain SD 75.1	JH605089:252,644..263,980(+)	hypothetical protein, conserved	LmxM.02.0580
LMJSD75_030006100	LMJSD75_030006100.1	Leishmania major strain SD 75.1	JH605090:27,339..30,002(+)	hypothetical protein, conserved	LmxM.03.0110
LMJSD75_030006200	LMJSD75_030006200.1	Leishmania major strain SD 75.1	JH605090:30,764..33,541(+)	hypothetical protein, conserved	LmxM.03.0120
LMJSD75_030007700	LMJSD75_030007700.1	Leishmania major strain SD 75.1	JH605090:66,571..68,184(+)	FYVE zinc finger/Apolipoprotein A1/A4/E domain containing protein, putative	LmxM.03.0270
LMJSD75_030007800	LMJSD75_030007800.1	Leishmania major strain SD 75.1	JH605090:70,084..71,886(+)	hypothetical protein, conserved	LmxM.03.0270
LMJSD75_030008400	LMJSD75_030008400.1	Leishmania major strain SD 75.1	JH605090:89,064..92,162(+)	hypothetical protein, conserved	LmxM.03.0320
LMJSD75_030008700	LMJSD75_030008700.1	Leishmania major strain SD 75.1	JH605090:98,465..103,045(+)	protein kinase, putative	LmxM.03.0350
LMJSD75_030008800	LMJSD75_030008800.1	Leishmania major strain SD 75.1	JH605090:107,121..112,097(+)	hypothetical protein, conserved	LmxM.03.0360
LMJSD75_030009800	LMJSD75_030009800.1	Leishmania major strain SD 75.1	JH605090:154,840..158,028(+)	hypothetical protein, conserved	LmxM.03.0460
LMJSD75_030010200	LMJSD75_030010200.1	Leishmania major strain SD 75.1	JH605090:171,941..175,123(+)	hypothetical protein, conserved	LmxM.03.0490
LMJSD75_030010300	LMJSD75_030010300.1	Leishmania major strain SD 75.1	JH605090:176,448..178,166(+)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJSD75_030010400	LMJSD75_030010400.1	Leishmania major strain SD 75.1	JH605090:180,624..188,288(+)	hypothetical protein, conserved	LmxM.03.0510
LMJSD75_030010600	LMJSD75_030010600.1	Leishmania major strain SD 75.1	JH605090:192,882..199,460(+)	hypothetical protein, conserved	LmxM.03.0530
LMJSD75_040016800	LMJSD75_040016800.1	Leishmania major strain SD 75.1	JH605091:394,491..398,831(-)	hypothetical protein, conserved	LmxM.04.1090
LMJSD75_040017300	LMJSD75_040017300.1	Leishmania major strain SD 75.1	JH605091:411,043..411,945(-)	hypothetical protein, conserved	LmxM.04.1140
LMJSD75_050012900	LMJSD75_050012900.1	Leishmania major strain SD 75.1	JH605092:278,669..282,742(+)	hypothetical protein, conserved	LmxM.05.0770
LMJSD75_080012700	LMJSD75_080012700.1	Leishmania major strain SD 75.1	JH605095:302,338..302,952(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJSD75_080012800	LMJSD75_080012800.1	Leishmania major strain SD 75.1	JH605095:304,232..304,756(+)	hypothetical protein	LmxM.33.1590
LMJSD75_080012900	LMJSD75_080012900.1	Leishmania major strain SD 75.1	JH605095:305,261..305,491(+)	Amastin surface glycoprotein, putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJSD75_090021000	LMJSD75_090021000.1	Leishmania major strain SD 75.1	JH605096:516,981..518,597(-)	Glycosyl hydrolase family 47, putative	LmxM.09.1400
LMJSD75_100005100	LMJSD75_100005100.1	Leishmania major strain SD 75.1	JH605097:4,597..6,078(-)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJSD75_100013400	LMJSD75_100013400.1	Leishmania major strain SD 75.1	JH605097:326,079..326,528(-)	hypothetical protein	LmxM.10.0720
LMJSD75_100013500	LMJSD75_100013500.1	Leishmania major strain SD 75.1	JH605097:327,967..329,433(-)	amino acid permease 24, putative	LmxM.10.0720
LMJSD75_100021200	LMJSD75_100021200.1	Leishmania major strain SD 75.1	JH605097:532,201..533,682(+)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJSD75_110017800	LMJSD75_110017800.1	Leishmania major strain SD 75.1	JH605098:404,494..410,088(+)	hypothetical protein, conserved	LmxM.11.1020
LMJSD75_110019000	LMJSD75_110019000.1	Leishmania major strain SD 75.1	JH605098:446,716..448,071(+)	palmitoyl acyltransferase 7, putative	LmxM.11.1090
LMJSD75_110019100	LMJSD75_110019100.1	Leishmania major strain SD 75.1	JH605098:450,469..451,908(+)	sterol 14-alpha-demethylase, putative	LmxM.11.1100
LMJSD75_110019400	LMJSD75_110019400.1	Leishmania major strain SD 75.1	JH605098:461,012..464,488(+)	protein transport protein SEC31, putative	LmxM.11.1160
LMJSD75_110020100	LMJSD75_110020100.1	Leishmania major strain SD 75.1	JH605098:484,457..484,915(+)	ABC transporter-like protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110020200	LMJSD75_110020200.1	Leishmania major strain SD 75.1	JH605098:486,456..492,182(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110020300	LMJSD75_110020300.1	Leishmania major strain SD 75.1	JH605098:496,712..502,408(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110020400	LMJSD75_110020400.1	Leishmania major strain SD 75.1	JH605098:504,716..505,000(+)	hypothetical protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110020500	LMJSD75_110020500.1	Leishmania major strain SD 75.1	JH605098:505,282..505,770(+)	ABC transporter-like protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110020600	LMJSD75_110020600.1	Leishmania major strain SD 75.1	JH605098:507,216..512,600(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110020800	LMJSD75_110020800.1	Leishmania major strain SD 75.1	JH605098:521,443..527,361(+)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_110021400	LMJSD75_110021400.1	Leishmania major strain SD 75.1	JH605098:547,045..547,647(+)	hypothetical protein, conserved	LmxM.11.1350
LMJSD75_110021800	LMJSD75_110021800.1	Leishmania major strain SD 75.1	JH605098:555,039..556,199(+)	Variant SH3 domain containing protein, putative	LmxM.11.1380
LMJSD75_120012600	LMJSD75_120012600.1	Leishmania major strain SD 75.1	JH605099:380,124..381,350(+)	surface antigen protein 2 precursor	LmxM.12.0890
LMJSD75_120012700	LMJSD75_120012700.1	Leishmania major strain SD 75.1	JH605099:384,175..385,419(+)	surface antigen protein 2, putative	LmxM.12.0890
LMJSD75_120012800	LMJSD75_120012800.1	Leishmania major strain SD 75.1	JH605099:385,535..387,010(+)	surface antigen protein 2, putative	LmxM.12.0890
LMJSD75_120012900	LMJSD75_120012900.1	Leishmania major strain SD 75.1	JH605099:387,023..388,480(+)	surface antigen protein, putative	LmxM.12.0890
LMJSD75_120013100	LMJSD75_120013100.1	Leishmania major strain SD 75.1	JH605099:393,475..395,064(+)	surface antigen protein, putative	LmxM.12.0890
LMJSD75_120013400	LMJSD75_120013400.1	Leishmania major strain SD 75.1	JH605099:400,497..401,306(+)	hypothetical protein	LmxM.12.0890
LMJSD75_120013500	LMJSD75_120013500.1	Leishmania major strain SD 75.1	JH605099:402,874..404,463(+)	surface antigen protein, putative	LmxM.12.0890
LMJSD75_120013600	LMJSD75_120013600.1	Leishmania major strain SD 75.1	JH605099:408,947..410,476(+)	surface antigen protein, putative	LmxM.12.0890
LMJSD75_130015000	LMJSD75_130015000.1	Leishmania major strain SD 75.1	JH605100:350,590..355,374(-)	hypothetical protein, conserved	LmxM.13.1080
LMJSD75_150005800	LMJSD75_150005800.1	Leishmania major strain SD 75.1	JH605102:22,386..24,071(-)	hypothetical protein, conserved	LmxM.15.0070
LMJSD75_150006800	LMJSD75_150006800.1	Leishmania major strain SD 75.1	JH605102:58,240..60,747(-)	zinc finger (CCCH type) protein, putative	LmxM.15.0160
LMJSD75_150008700	LMJSD75_150008700.1	Leishmania major strain SD 75.1	JH605102:113,315..115,717(+)	hypothetical protein, conserved	LmxM.15.0290
LMJSD75_150008900	LMJSD75_150008900.1	Leishmania major strain SD 75.1	JH605102:118,605..120,569(+)	hypothetical protein, conserved	LmxM.15.0310
LMJSD75_150010700	LMJSD75_150010700.1	Leishmania major strain SD 75.1	JH605102:175,089..177,230(+)	hypothetical protein, conserved	LmxM.15.0490
LMJSD75_150010800	LMJSD75_150010800.1	Leishmania major strain SD 75.1	JH605102:178,168..181,173(+)	metalloprotease, putative	LmxM.15.0500
LMJSD75_150011100	LMJSD75_150011100.1	Leishmania major strain SD 75.1	JH605102:188,256..193,895(+)	hypothetical protein, conserved	LmxM.15.0530
LMJSD75_150011200	LMJSD75_150011200.1	Leishmania major strain SD 75.1	JH605102:195,353..197,392(+)	hypothetical protein, conserved	LmxM.15.0540
LMJSD75_150012200	LMJSD75_150012200.1	Leishmania major strain SD 75.1	JH605102:235,716..238,589(+)	hypothetical protein, conserved	LmxM.15.0630
LMJSD75_150013800	LMJSD75_150013800.1	Leishmania major strain SD 75.1	JH605102:307,275..315,362(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_160010100	LMJSD75_160010100.1	Leishmania major strain SD 75.1	JH605103:163,351..166,914(-)	fucose kinase, putative	LmxM.16.0480
LMJSD75_160012900	LMJSD75_160012900.1	Leishmania major strain SD 75.1	JH605103:262,816..263,808(-)	transaldolase, putative	LmxM.16.0760
LMJSD75_170006400	LMJSD75_170006400.1	Leishmania major strain SD 75.1	JH605104:36,289..44,148(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJSD75_170006600	LMJSD75_170006600.1	Leishmania major strain SD 75.1	JH605104:51,501..52,178(-)	hypothetical protein	LmxM.17.0190,LmxM.17.0200
LMJSD75_170006700	LMJSD75_170006700.1	Leishmania major strain SD 75.1	JH605104:56,700..58,289(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJSD75_170006800	LMJSD75_170006800.1	Leishmania major strain SD 75.1	JH605104:58,525..60,468(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJSD75_170010700	LMJSD75_170010700.1	Leishmania major strain SD 75.1	JH605104:243,035..246,607(-)	hypothetical protein, conserved	LmxM.17.0530
LMJSD75_170021900	LMJSD75_170021900.1	Leishmania major strain SD 75.1	JH605104:640,034..644,779(+)	Ion transport protein, putative	LmxM.17.1440
LMJSD75_200016600	LMJSD75_200016600.1	Leishmania major strain SD 75.1	JH605108:478,013..487,861(+)	phosphatidylinositol 3-kinase, putative	LmxM.20.1120
LMJSD75_200021700	LMJSD75_200021700.1	Leishmania major strain SD 75.1	JH605108:647,768..650,629(-)	hypothetical protein, conserved	LmxM.20.1500
LMJSD75_210009700	LMJSD75_210009700.1	Leishmania major strain SD 75.1	JH605109:128,435..129,688(+)	hypothetical protein, conserved	LmxM.21.0430
LMJSD75_220018900	LMJSD75_220018900.1	Leishmania major strain SD 75.1	JH605106:533,393..534,430(-)	hypothetical protein, conserved	LmxM.22.1320
LMJSD75_220019000	LMJSD75_220019000.1	Leishmania major strain SD 75.1	JH605106:535,240..536,896(-)	hypothetical protein	LmxM.22.1320
LMJSD75_220019100	LMJSD75_220019100.1	Leishmania major strain SD 75.1	JH605106:537,214..539,223(-)	hypothetical protein, conserved	LmxM.22.1320
LMJSD75_220019200	LMJSD75_220019200.1	Leishmania major strain SD 75.1	JH605106:539,360..539,728(-)	hypothetical protein	LmxM.22.1320
LMJSD75_220019300	LMJSD75_220019300.1	Leishmania major strain SD 75.1	JH605106:540,112..540,924(-)	hypothetical protein	LmxM.22.1320
LMJSD75_220019400	LMJSD75_220019400.1	Leishmania major strain SD 75.1	JH605106:540,957..544,916(-)	hypothetical protein, conserved	LmxM.22.1320
LMJSD75_220019500	LMJSD75_220019500.1	Leishmania major strain SD 75.1	JH605106:548,649..550,727(-)	hypothetical protein, conserved	LmxM.22.1330
LMJSD75_220019600	LMJSD75_220019600.1	Leishmania major strain SD 75.1	JH605106:550,829..552,703(-)	hypothetical protein, conserved	LmxM.22.1330
LMJSD75_220019800	LMJSD75_220019800.1	Leishmania major strain SD 75.1	JH605106:559,255..560,442(-)	palmitoyl acyltransferase 11, putative	LmxM.11.1090
LMJSD75_220023100	LMJSD75_220023100.1	Leishmania major strain SD 75.1	JH605106:667,580..668,740(+)	CobW/HypB/UreG, nucleotide-binding domain containing protein, putative	LmxM.22.1650
LMJSD75_230015100	LMJSD75_230015100.1	Leishmania major strain SD 75.1	JH605110:306,401..308,068(-)	hypothetical protein, conserved	LmxM.23.0640
LMJSD75_230027700	LMJSD75_230027700.1	Leishmania major strain SD 75.1	JH605110:741,177..744,074(+)	hypothetical protein, conserved	LmxM.23.1540
LMJSD75_230027800	LMJSD75_230027800.1	Leishmania major strain SD 75.1	JH605110:745,026..747,410(+)	HAT (Half-A-TPR) repeats, putative	LmxM.23.1550
LMJSD75_240006000	LMJSD75_240006000.1	Leishmania major strain SD 75.1	JH605111:20,147..20,986(+)	Calmodulin-binding, putative	LmxM.24.0100
LMJSD75_240009800	LMJSD75_240009800.1	Leishmania major strain SD 75.1	JH605111:154,507..155,769(+)	hypothetical protein, conserved	LmxM.24.0470
LMJSD75_240010000	LMJSD75_240010000.1	Leishmania major strain SD 75.1	JH605111:163,083..166,745(+)	Kelch motif/Galactose oxidase, central domain containing protein, putative	LmxM.24.0480
LMJSD75_240012100	LMJSD75_240012100.1	Leishmania major strain SD 75.1	JH605111:239,124..239,648(+)	hypothetical protein, conserved	LmxM.24.0690
LMJSD75_240030600	LMJSD75_240030600.1	Leishmania major strain SD 75.1	JH605111:834,602..836,017(+)	SpoU rRNA Methylase family, putative	LmxM.24.2340
LMJSD75_260011000	LMJSD75_260011000.1	Leishmania major strain SD 75.1	JH605113:164,133..166,940(-)	sphingosine kinase A, B, putative	LmxM.26.0710
LMJSD75_260026100	LMJSD75_260026100.1	Leishmania major strain SD 75.1	JH605113:781,687..794,166(+)	hypothetical protein, conserved	LmxM.26.2120
LMJSD75_270009900	LMJSD75_270009900.1	Leishmania major strain SD 75.1	JH605114:141,399..148,238(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJSD75_270010000	LMJSD75_270010000.1	Leishmania major strain SD 75.1	JH605114:148,431..151,691(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJSD75_270010200	LMJSD75_270010200.1	Leishmania major strain SD 75.1	JH605114:158,778..177,329(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJSD75_270010300	LMJSD75_270010300.1	Leishmania major strain SD 75.1	JH605114:188,565..190,559(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJSD75_270010400	LMJSD75_270010400.1	Leishmania major strain SD 75.1	JH605114:190,891..201,717(+)	calpain-like cysteine peptidase, putative	LmxM.15.0440
LMJSD75_270012100	LMJSD75_270012100.1	Leishmania major strain SD 75.1	JH605114:252,316..252,996(+)	Transmembrane amino acid transporter protein, putative	LmxM.30.0350
LMJSD75_270012200	LMJSD75_270012200.1	Leishmania major strain SD 75.1	JH605114:252,998..254,401(+)	amino acid permease, putative	LmxM.30.0350
LMJSD75_270012300	LMJSD75_270012300.1	Leishmania major strain SD 75.1	JH605114:256,717..257,796(+)	amino acid permease, putative	LmxM.27.0680
LMJSD75_270015600	LMJSD75_270015600.1	Leishmania major strain SD 75.1	JH605114:393,470..398,098(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_270015700	LMJSD75_270015700.1	Leishmania major strain SD 75.1	JH605114:404,599..405,739(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_270015800	LMJSD75_270015800.1	Leishmania major strain SD 75.1	JH605114:406,535..406,735(-)	hypothetical protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_270015900	LMJSD75_270015900.1	Leishmania major strain SD 75.1	JH605114:406,807..408,171(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_270026100	LMJSD75_270026100.1	Leishmania major strain SD 75.1	JH605114:796,230..800,039(-)	hypothetical protein, conserved	LmxM.27.1895
LMJSD75_280038700	LMJSD75_280038700.1	Leishmania major strain SD 75.1	JH605115:1,142,123..1,145,095(-)	hypothetical protein, conserved	LmxM.28.3030
LMJSD75_290011600	LMJSD75_290011600.1	Leishmania major strain SD 75.1	JH605116:229,961..235,561(-)	ATP-binding cassette protein subfamily A, member 2, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_290011900	LMJSD75_290011900.1	Leishmania major strain SD 75.1	JH605116:242,619..244,748(-)	phosphate transporter, putative	LmxM.03.0500
LMJSD75_290028200	LMJSD75_290028200.1	Leishmania major strain SD 75.1	JH605116:858,271..860,715(-)	serine/threonine protein kinase, putative	LmxM.08_29.2020
LMJSD75_300016800	LMJSD75_300016800.1	Leishmania major strain SD 75.1	JH605117:351,424..359,169(+)	IQ calmodulin-binding motif containing protein, putative	LmxM.29.1080
LMJSD75_300018600	LMJSD75_300018600.1	Leishmania major strain SD 75.1	JH605117:420,081..421,322(+)	calcium-binding protein, putative	LmxM.29.1240
LMJSD75_310005000	LMJSD75_310005000.1	Leishmania major strain SD 75.1	JH605118:2,958..5,270(-)	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	LmxM.30.0010
LMJSD75_310005200	LMJSD75_310005200.1	Leishmania major strain SD 75.1	JH605118:9,268..12,342(-)	hypothetical protein, conserved	LmxM.30.0030
LMJSD75_310008100	LMJSD75_310008100.1	Leishmania major strain SD 75.1	JH605118:73,657..74,682(-)	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative	LmxM.30.0280
LMJSD75_310008500	LMJSD75_310008500.1	Leishmania major strain SD 75.1	JH605118:90,260..91,060(-)	hypothetical protein	LmxM.27.0680
LMJSD75_310008600	LMJSD75_310008600.1	Leishmania major strain SD 75.1	JH605118:93,334..94,116(-)	Transmembrane amino acid transporter protein, putative	LmxM.30.0350
LMJSD75_310008700	LMJSD75_310008700.1	Leishmania major strain SD 75.1	JH605118:99,162..99,746(-)	Transmembrane amino acid transporter protein, putative	LmxM.30.0350
LMJSD75_310008800	LMJSD75_310008800.1	Leishmania major strain SD 75.1	JH605118:103,434..104,969(-)	amino acid permease, putative	LmxM.30.0350
LMJSD75_310008900	LMJSD75_310008900.1	Leishmania major strain SD 75.1	JH605118:106,351..109,326(-)	CRAL/TRIO domain containing protein, putative	LmxM.30.0360
LMJSD75_310013400	LMJSD75_310013400.1	Leishmania major strain SD 75.1	JH605118:275,969..277,741(-)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJSD75_310013500	LMJSD75_310013500.1	Leishmania major strain SD 75.1	JH605118:279,183..281,072(-)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJSD75_310013600	LMJSD75_310013600.1	Leishmania major strain SD 75.1	JH605118:283,467..284,213(-)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJSD75_310031500	LMJSD75_310031500.1	Leishmania major strain SD 75.1	JH605118:1,044,865..1,051,266(-)	hypothetical protein, conserved	LmxM.30.2220
LMJSD75_310041600	LMJSD75_310041600.1	Leishmania major strain SD 75.1	JH605118:1,367,809..1,369,107(-)	iron/zinc transporter protein-like protein	LmxM.30.3060,LmxM.30.3070
LMJSD75_310041700	LMJSD75_310041700.1	Leishmania major strain SD 75.1	JH605118:1,371,939..1,372,160(-)	hypothetical protein	LmxM.30.3060,LmxM.30.3070
LMJSD75_310041800	LMJSD75_310041800.1	Leishmania major strain SD 75.1	JH605118:1,372,290..1,372,696(-)	ZIP Zinc transporter, putative	LmxM.30.3060,LmxM.30.3070
LMJSD75_310041900	LMJSD75_310041900.1	Leishmania major strain SD 75.1	JH605118:1,374,370..1,374,726(-)	ZIP Zinc transporter, putative	LmxM.30.3060,LmxM.30.3070
LMJSD75_320025600	LMJSD75_320025600.1	Leishmania major strain SD 75.1	JH605119:747,617..748,969(-)	hypothetical protein, conserved	LmxM.31.1910
LMJSD75_330018800	LMJSD75_330018800.1	Leishmania major strain SD 75.1	JH605120:434,460..434,903(+)	hypothetical protein, conserved	LmxM.32.1160
LMJSD75_330019500	LMJSD75_330019500.1	Leishmania major strain SD 75.1	JH605120:457,313..459,178(+)	WD domain, G-beta repeat, putative	LmxM.32.1240
LMJSD75_330019600	LMJSD75_330019600.1	Leishmania major strain SD 75.1	JH605120:460,174..462,903(+)	WD domain, G-beta repeat, putative	LmxM.32.1240
LMJSD75_330023100	LMJSD75_330023100.1	Leishmania major strain SD 75.1	JH605120:603,788..614,122(+)	Tetratricopeptide repeats, putative	LmxM.32.1490
LMJSD75_330042600	LMJSD75_330042600.1	Leishmania major strain SD 75.1	JH605120:1,362,207..1,362,527(+)	hypothetical protein	LmxM.32.3070partial
LMJSD75_330042700	LMJSD75_330042700.1	Leishmania major strain SD 75.1	JH605120:1,367,810..1,369,906(+)	hypothetical protein, conserved	LmxM.32.3070partial
LMJSD75_330044100	LMJSD75_330044100.1	Leishmania major strain SD 75.1	JH605120:1,411,236..1,413,890(+)	beta prime cop protein, putative	LmxM.32.3210
LMJSD75_330044300	LMJSD75_330044300.1	Leishmania major strain SD 75.1	JH605120:1,417,511..1,419,115(+)	hypothetical protein, conserved	LmxM.32.3220
LMJSD75_340024700	LMJSD75_340024700.1	Leishmania major strain SD 75.1	JH605121:700,600..700,995(-)	amastin-like surface protein-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJSD75_340024800	LMJSD75_340024800.1	Leishmania major strain SD 75.1	JH605121:701,618..703,612(-)	tuzin-like protein	LmxM.33.1590
LMJSD75_340033700	LMJSD75_340033700.1	Leishmania major strain SD 75.1	JH605121:1,085,133..1,085,366(+)	hypothetical protein	LmxM.33.1590
LMJSD75_340036300	LMJSD75_340036300.1	Leishmania major strain SD 75.1	JH605121:1,164,519..1,166,429(+)	hypothetical protein, conserved	LmxM.30.0800,LmxM.30.0820
LMJSD75_340047600	LMJSD75_340047600.1	Leishmania major strain SD 75.1	JH605121:1,522,611..1,525,331(+)	ubiquitin hydrolase, putative	LmxM.33.4060
LMJSD75_350030100	LMJSD75_350030100.1	Leishmania major strain SD 75.1	JH605122:891,855..892,277(+)	hypothetical protein	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJSD75_350051300	LMJSD75_350051300.1	Leishmania major strain SD 75.1	JH605122:1,662,855..1,663,411(+)	hypothetical protein, conserved	LmxM.34.4380
LMJSD75_360034300	LMJSD75_360034300.1	Leishmania major strain SD 75.1	JH605123:1,025,486..1,027,648(-)	cyclin-e binding protein 1-like protein	LmxM.36.2600
LMJSD75_360061900	LMJSD75_360061900.1	Leishmania major strain SD 75.1	JH605123:1,917,729..1,920,266(-)	hypothetical protein, conserved	LmxM.03.0320
LMJSD75_360079300	LMJSD75_360079300.1	Leishmania major strain SD 75.1	JH605123:2,487,005..2,488,204(-)	cop9 signalosome complex subunit, putative	LmxM.36.6510
LmjF.02.0300	LmjF.02.0300:mRNA	Leishmania major strain Friedlin	LmjF.02:138,486..146,384(-)	ATP-binding cassette subfamily A, member 1, putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LmjF.02.0310	LmjF.02.0310:mRNA	Leishmania major strain Friedlin	LmjF.02:150,192..152,276(-)	Soluble NSF attachment protein, SNAP, putative	LmxM.02.0310
LmjF.02.0580	LmjF.02.0580:mRNA	Leishmania major strain Friedlin	LmjF.02:298,464..309,800(+)	hypothetical protein, conserved	LmxM.02.0580
LmjF.03.0110	LmjF.03.0110:mRNA	Leishmania major strain Friedlin	LmjF.03:26,896..29,559(+)	hypothetical protein, conserved	LmxM.03.0110
LmjF.03.0120	LmjF.03.0120:mRNA	Leishmania major strain Friedlin	LmjF.03:30,321..33,098(+)	hypothetical protein, conserved	LmxM.03.0120
